Taxonomic identifier (all)	lineage-id(all)
Taxonomic identifier (SUPERKINGDOM)	lineage-id(SUPERKINGDOM)
Taxonomic identifier (KINGDOM)	lineage-id(KINGDOM)
Taxonomic identifier (SUBKINGDOM)	lineage-id(SUBKINGDOM)
Taxonomic identifier (SUPERPHYLUM)	lineage-id(SUPERPHYLUM)
Taxonomic identifier (PHYLUM)	lineage-id(PHYLUM)
Taxonomic identifier (SUBPHYLUM)	lineage-id(SUBPHYLUM)
Taxonomic identifier (SUPERCLASS)	lineage-id(SUPERCLASS)
Taxonomic identifier (CLASS)	lineage-id(CLASS)
Taxonomic identifier (SUBCLASS)	lineage-id(SUBCLASS)
Taxonomic identifier (INFRACLASS)	lineage-id(INFRACLASS)
Taxonomic identifier (SUPERORDER)	lineage-id(SUPERORDER)
Taxonomic identifier (ORDER)	lineage-id(ORDER)
Taxonomic identifier (SUBORDER)	lineage-id(SUBORDER)
Taxonomic identifier (INFRAORDER)	lineage-id(INFRAORDER)
Taxonomic identifier (PARVORDER)	lineage-id(PARVORDER)
Taxonomic identifier (SUPERFAMILY)	lineage-id(SUPERFAMILY)
Taxonomic identifier (FAMILY)	lineage-id(FAMILY)
Taxonomic identifier (SUBFAMILY)	lineage-id(SUBFAMILY)
Taxonomic identifier (TRIBE)	lineage-id(TRIBE)
Taxonomic identifier (SUBTRIBE)	lineage-id(SUBTRIBE)
Taxonomic identifier (GENUS)	lineage-id(GENUS)
Taxonomic identifier (SUBGENUS)	lineage-id(SUBGENUS)
Taxonomic identifier (SPECIES GROUP)	lineage-id(SPECIES GROUP)
Taxonomic identifier (SPECIES SUBGROUP)	lineage-id(SPECIES SUBGROUP)
Taxonomic identifier (SPECIES)	lineage-id(SPECIES)
Taxonomic identifier (SUBSPECIES)	lineage-id(SUBSPECIES)
Taxonomic identifier (VARIETAS)	lineage-id(VARIETAS)
Taxonomic identifier (FORMA)	lineage-id(FORMA)
